epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1045,1.2566,2.32049,1.64749,0.46845,0.59306,0.58662,0.52537,0.87263,2.3769,1.68654,2e-05,2e-05,2e-05
2,14.3964,1.09165,2.28662,1.44205,0.47052,0.59788,0.5889,0.52615,0.89864,2.38996,1.68026,5.9406e-05,5.9406e-05,5.9406e-05
3,16.8334,1.07193,2.1673,1.44891,0.85649,0.83333,0.87192,0.66142,0.95514,2.12313,1.58509,9.802e-05,9.802e-05,9.802e-05
4,20.3589,0.92453,1.31589,1.39986,0.914,1,0.995,0.63609,1.06551,2.52091,1.45093,0.000135842,0.000135842,0.000135842
5,24.0454,1.0853,1.17251,1.52172,0.99117,1,0.995,0.60662,1.10402,1.07013,1.92783,0.000172872,0.000172872,0.000172872
6,26.708,1.13428,1.00034,1.42596,0.6278,1,0.91333,0.347,1.41894,2.59109,2.5585,0.00020911,0.00020911,0.00020911
7,29.1848,0.88816,0.91686,1.25773,0.98691,1,0.995,0.55018,1.12432,1.48806,2.06562,0.000244556,0.000244556,0.000244556
8,31.7147,0.88615,0.81293,1.28563,0.97259,1,0.995,0.59875,1.30408,0.87499,2.31497,0.00027921,0.00027921,0.00027921
9,34.1436,1.03011,0.88715,1.45542,1,0.89189,0.995,0.53246,1.6197,1.17681,2.79765,0.000313072,0.000313072,0.000313072
10,37.2395,0.95989,0.89059,1.35635,0.79755,0.6585,0.64614,0.32312,2.03223,2.23338,3.93746,0.000346142,0.000346142,0.000346142
11,40.5761,0.93868,0.85625,1.289,0.57024,0.5,0.38667,0.23413,1.8465,2.59697,3.94791,0.00037842,0.00037842,0.00037842
12,43.6823,0.87413,0.77618,1.2611,0.81901,0.33333,0.4329,0.20971,2.26618,3.079,2.59292,0.000409906,0.000409906,0.000409906
13,46.1562,0.90695,0.80788,1.31293,0.1495,0.16667,0.08864,0.03408,3.42263,5.59769,3.8122,0.0004406,0.0004406,0.0004406
14,48.6012,0.9452,0.84682,1.31757,0.21528,0.33333,0.13917,0.0284,3.42548,5.37694,4.28453,0.000470502,0.000470502,0.000470502
15,51.1109,0.94093,0.9265,1.26714,0.06531,0.33333,0.03263,0.01036,3.87717,8.84286,4.2705,0.000499612,0.000499612,0.000499612
16,53.8927,0.94459,0.83844,1.34724,0.00222,0.66667,0.0069,0.0019,4.24691,8.42078,4.63261,0.00052793,0.00052793,0.00052793
17,57.1904,1.10147,0.86519,1.45541,0.07451,0.16667,0.01831,0.00338,3.67687,9.08482,4.43233,0.000555456,0.000555456,0.000555456
18,60.5249,0.85171,0.75678,1.21064,0.2263,0.16667,0.06678,0.00793,3.39982,5.72088,4.73235,0.00058219,0.00058219,0.00058219
19,62.9885,0.91719,0.72697,1.30799,0.45828,0.16667,0.09616,0.03183,2.16696,3.46014,2.90852,0.000608132,0.000608132,0.000608132
20,65.4608,1.08355,1.01217,1.49302,0.82346,0.16667,0.21688,0.1088,2.45526,2.90012,4.26463,0.000633282,0.000633282,0.000633282
21,67.8912,1.14171,0.95728,1.43758,0.3793,0.33333,0.25299,0.19121,2.13499,2.17494,3.52351,0.00065764,0.00065764,0.00065764
22,70.5469,1.1097,1.01802,1.4345,0.91008,0.16667,0.2405,0.11295,2.4475,3.15388,3.62396,0.000681206,0.000681206,0.000681206
23,74.0263,1.11906,1.08701,1.40448,0.22234,0.16667,0.04327,0.02123,2.32312,4.3822,3.49926,0.00070398,0.00070398,0.00070398
24,77.5301,1.25446,1.09747,1.54065,0.01934,0.16667,0.00716,0.00358,2.68568,4.91632,3.84932,0.000725962,0.000725962,0.000725962
25,79.9881,1.06824,0.9035,1.40339,0.00056,0.16667,0.00217,0.00087,2.65356,5.58406,4.04692,0.000747152,0.000747152,0.000747152
26,82.4677,1.07987,0.96977,1.39131,0.00056,0.16667,0.00217,0.00087,4.27761,4.90119,5.89,0.00076755,0.00076755,0.00076755
27,85.019,0.98828,0.88821,1.3397,0.00862,0.83333,0.0276,0.01033,3.09847,3.63316,4.92555,0.000787156,0.000787156,0.000787156
28,87.5498,1.18147,0.9498,1.44981,0.00862,0.83333,0.0276,0.01033,3.09847,3.63316,4.92555,0.00080597,0.00080597,0.00080597
29,91.0155,1.12239,0.99552,1.44631,0.26218,0.5,0.28234,0.13847,2.48739,4.12757,3.36205,0.000823992,0.000823992,0.000823992
